Provinsi,Kab_Kota,Kecamatan,Kelurahan_Desa,Alamat,Nama_SPPG,Longitude,Latitude
JAWA TIMUR,PASURUAN,POHJENTREK,WARUNGDOWO,"Jl. Raya Warungdowo Barat No 8, Warungdowo, Kec. Pohjentrek, Kab. Pasuruan, Jawa Timur",SPPG Pasuruan Pohjentrek Warungdowo,112.8833,-7.6843
JAWA TIMUR,PASURUAN,TUTUR,WONOSARI,"Jl. Raya Mesagi Wonosari, Kecamatan Tutur, Kabupaten Pasuruan, Jawa Timur",SPPG Pasuruan Tutur Wonosari,112.827371,-7.900766
JAWA TIMUR,TUBAN,SEMANDING,GEDONGOMBO,"Lingkungan Widengan Rt.005 Rw.010 Kel. Gedongombo Kec. Semanding Kab. Tuban, Jawa Timur",SPPG Tuban Semanding Gedongombo 6,112.0813546,-6.9174002
JAWA TIMUR,BANGKALAN,GEGER,CAMPOR,"Jl. Kmp Pasar Lajuh 001/002, Campor 1, Campor, Kec. Geger, Kab. Bangkalan, Jawa Timur",SPPG Bangkalan Geger Campor 2,112.881045,-6.979164
JAWA TIMUR,LUMAJANG,YOSOWILANGUN,KRAI,"Dusun Sentono, Desa Krai, Kecamatan Yosowilangun, Kabupaten Lumajang, Jawa Timur",SPPG Lumajang Yosowilangun Krai 2,113.2732641,-8.2430069
JAWA TIMUR,GRESIK,WRINGINANOM,WATESTANJUNG,"Ngampon Rt.011 Rw.003, Watestanjung, Kec. Wringinanom, Kab. Gresik, Jawa Timur",SPPG Gresik Wringinanom Watestanjung 2,112.5563445,-7.3696119
JAWA TIMUR,PASURUAN,BANGIL,KALIANYAR,"Jl. Kakap, Satak, Kalianyar, Kec. Bangil, Kab. Pasuruan, Jawa Timur",SPPG Pasuruan Bangil Kalianyar,112.796602770289,-7.575221810982
JAWA TIMUR,MALANG,BANTUR,BANTUR,"Jl. Raya Bantur No 1014, Bantur, Kec. Bantur, Kab. Malang, Jawa Timur",SPPG Malang Bantur Bantur,112.5802,-8.3165
JAWA TIMUR,SIDOARJO,SUKODONO,MASANGANKULON,"Jl. Griya Bhayangkara Rt 017 Rw 006, Masangankulon, Kec. Sukodono, Kab. Sidoarjo, Jawa Timur",SPPG Sidoarjo Sukodono Masangankulon,112.687841100939,-7.375513416424
JAWA TIMUR,KOTA MALANG,KLOJEN,KASIN,"Jl. Pulau Sayang No 20A, Kasin, Kec. Klojen, Kota Malang, Jawa Timur",SPPG Kota Malang Klojen Kasin,112.624833999493,-7.998387498315
JAWA TIMUR,NGAWI,GENENG,KLITIK,"Dusun. Dungredjo RT 05 RW 04, Desa. Klitik, Kecamatan Geneng, Kabupaten Ngawi, Provinsi Jawa Timur",SPPG Ngawi Geneng Klitik 2,111.43792,-7.438119
JAWA TIMUR,TUBAN,TUBAN,SUKOLILO,"Perumahan Griya Cemoro Sewu Blok B, Kelurahan Sukolilo, Kecamatan Tuban, Kabupaten Tuban, Jawa Timur",SPPG Tuban Tuban Sukolilo,112.0753473,-6.900687
JAWA TIMUR,PROBOLINGGO,BANYUANYAR,BANYUANYAR TENGAH,"Dusun Timbangan Rt.007 Rw.003, Banyuanyar Tengah, Kec. Banyuanyar, Kab. Probolinggo, Jawa Timur",SPPG Probolinggo Banyuanyar Banyuanyar Tengah,113.293399,-7.829905
JAWA TIMUR,KOTA SURABAYA,SAWAHAN,SAWAHAN,"Jl. Arjuno No 65, Kel. Sawahan, Kec. Sawahan, Kota Surabaya, Jawa Timur",SPPG Kota Surabaya Sawahan Sawahan 2,112.726818040352,-7.263206014067
JAWA TIMUR,BOJONEGORO,SUMBEREJO,PEKUWON,"Jl. Raya Puk Sumberrejo Rt. 002 Rw. 001 Desa Pekuwon Kec. Sumberrejo Kab. Bojonegoro, Jawa Timur",SPPG Bojonegoro Sumberejo Pekuwon,111.9923626,-7.1883456
JAWA TIMUR,TUBAN,BANCAR,SUKOLILO,"Jl. Raya Bulu, Jatirogo Karanganyar, Sukolilo, Kec. Bancar, Kab. Tuban, Jawa Timur",SPPG Tuban Bancar Sukolilo,111.705346,-6.764828
JAWA TIMUR,KEDIRI,KANDANGAN,KLAMPISAN,"Jalan Pare Kandangan, Desa Klampisan, Kecamatan Kandangan, Kabupaten Kediri, Provinsi Jawa Timur",SPPG Kediri Kandangan Klampisan,112.279830625745,-7.758010943186
JAWA TIMUR,KOTA MALANG,KEDUNGKANDANG,SAWOJAJAR,"Jl. Danau Laut Tawar, RT. 05, RW. 05, Kelurahan Sawojajar, Kecamatan Kedungkandang, Kota Malang, Jawa Timur",SPPG Kota Malang Kedungkandang Sawojajar 5,112.658701791202,-7.975682534328
JAWA TIMUR,BANGKALAN,KAMAL,KAMAL,"Jl. Raya Tellang, Kamal, Kec. Kamal, Kab. Bangkalan, Jawa Timur",SPPG Bangkalan Kamal Kamal 2,112.7274896189,-7.166342064417
JAWA TIMUR,JEMBER,TANGGUL,MANGGISAN,"Jl. Argopuro No 7, Manggisan, Kec. Tanggul, Kab. Jember, Jawa Timur",SPPG Jember Tanggul Manggisan 2,113.491989,-8.1261543
JAWA TIMUR,MAGETAN,PLAOSAN,PLAOSAN,"Jl. Raya Sarangan No.103, Kec. Plaosan, Kab. Magetan, Jawa Timur",SPPG Magetan Plaosan Plaosan,111.253652088034,-7.681746050764
JAWA TIMUR,MALANG,SUMBERMANJING WETAN,DRUJU,"Jl. Raya Druju Rt14/Rw03, Druju, Kec. Sumbermanjing Wetan, Kab. Malang, Jawa Timur",SPPG Malang Sumbermanjing Wetan Druju 2,112.667232691322,-8.239477307985
JAWA TIMUR,KEDIRI,PLOSOKLATEN,PRANGGANG,"Prenggang Kec. Plosoklaten Kab. Kediri, Jawa Timur",SPPG Kediri Plosoklaten Pranggang,112.1739555,-7.8533694
